,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
438,867,Dan,Shechtman,24.01.41,,British Mandate of Palestine (now Israel),IL,Tel Aviv,,,,male,2011,chemistry,,1,"""for the discovery of quasicrystals""",Technion - Israel Institute of Technology,Haifa,Israel,1941
439,416,Hamilton O.,Smith,23.08.31,,USA,US,"New York, NY",,,,male,1978,medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,"Baltimore, MD",USA,1931
440,415,Daniel,Nathans,30.10.28,11/16/1999,USA,US,"Wilmington, DE",USA,US,"Baltimore, MD",male,1978,medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,"Baltimore, MD",USA,1928
441,414,Werner,Arber,03.06.29,,Switzerland,CH,Gr_nichen,,,,male,1978,medicine,,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Biozentrum der Universit_t,Basel,Switzerland,1929
442,866,Adam G.,Riess,16.12.69,,USA,US,"Washington, DC",,,,male,2011,physics,,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Johns Hopkins University,"Baltimore, MD",USA,1969
443,866,Adam G.,Riess,16.12.69,,USA,US,"Washington, DC",,,,male,2011,physics,,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Space Telescope Science Institute,"Baltimore, MD",USA,1969
444,864,Saul,Perlmutter,,,USA,US,"Champaign-Urbana, IL",,,,male,2011,physics,,2,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Lawrence Berkeley National Laboratory,"Berkeley, CA",USA,
445,864,Saul,Perlmutter,,,USA,US,"Champaign-Urbana, IL",,,,male,2011,physics,,2,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",University of California,"Berkeley, CA",USA,
446,865,Brian P.,Schmidt,24.02.67,,USA,US,"Missoula, MT",,,,male,2011,physics,,4,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Australian National University,Weston Creek,Australia,1967
447,334,Gerhard,Domagk,1895-10-30,4/24/1964,Germany (now Poland),PL,Lagow,West Germany (now Germany),DE,Burgberg,male,1939,medicine,,1,"""for the discovery of the antibacterial effects of prontosil""",Munster University,Munster,Germany,1895
448,102,Aage Niels,Bohr,19.06.22,09.08.09,Denmark,DK,Copenhagen,Denmark,DK,Copenhagen,male,1975,physics,,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Niels Bohr Institute,Copenhagen,Denmark,1922
449,103,Ben Roy,Mottelson,09.07.26,,USA,US,"Chicago, IL",,,,male,1975,physics,,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Nordita,Copenhagen,Denmark,1926
450,104,Leo James,Rainwater,09.12.17,3/31/1986,USA,US,"Council, ID",USA,US,"Yonkers, NY",male,1975,physics,,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",Columbia University,"New York, NY",USA,1917
451,50,Wolfgang,Pauli,25.04.00,12/15/1958,Austria,AT,Vienna,Switzerland,,Zurich,male,1945,physics,,1,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",Princeton University,"Princeton, NJ",USA,1900
452,826,Yoichiro,Nambu,18.01.21,07.05.15,Japan,JP,Tokyo,Japan,JP,Osaka,male,2008,physics,,2,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""","Enrico Fermi Institute, University of Chicago","Chicago, IL",USA,1921
453,41,James,Chadwick,1891-10-20,7/24/1974,United Kingdom,GB,Manchester,United Kingdom,GB,Cambridge,male,1935,physics,,1,"""for the discovery of the neutron""",Liverpool University,Liverpool,United Kingdom,1891
454,828,Toshihide,Maskawa,07.02.40,,Japan,JP,Nagoya,,,,male,2008,physics,,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",Kyoto Sangyo University,Kyoto,Japan,1940
455,828,Toshihide,Maskawa,07.02.40,,Japan,JP,Nagoya,,,,male,2008,physics,,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""","Yukawa Institute for Theoretical Physics (YITP), Kyoto University",Kyoto,Japan,1940
456,827,Makoto,Kobayashi,07.04.44,,Japan,JP,Nagoya,,,,male,2008,physics,,4,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,1944
457,342,Hermann Joseph,Muller,1890-12-21,04.05.67,USA,US,"New York, NY",,,,male,1946,medicine,,1,"""for the discovery of the production of mutations by means of X-ray irradiation""",Indiana University,"Bloomington, IN",USA,1890
458,126,Klaus,von Klitzing,28.06.43,,German-occupied Poland (now Poland),PL,Schroda,,,,male,1985,physics,,1,"""for the discovery of the quantized Hall effect""",Max-Planck-Institut fôr Festk_rperforschung,Stuttgart,Federal Republic of Germany,1943
459,236,Lars,Onsager,27.11.03,10.05.76,Norway,NO,Kristiania (now Oslo),USA,US,"Coral Gables, FL",male,1968,chemistry,,1,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Yale University,"New Haven, CT",USA,1903
460,333,Corneille Jean Franois,Heymans,1892-03-28,7/18/1968,Belgium,BE,Ghent,Belgium,BE,Knokke,male,1938,medicine,,1,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",Ghent University,Ghent,Belgium,1892
461,172,Victor,Grignard,1871-05-06,12/13/1935,France,FR,Cherbourg,France,FR,Lyon,male,1912,chemistry,,2,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",Nancy University,Nancy,France,1871
462,147,Martin L.,Perl,24.06.27,9/30/2014,USA,US,"New York, NY",USA,US,"Palo Alto, CA",male,1995,physics,"""for pioneering experimental contributions to lepton physics""",2,"""for the discovery of the tau lepton""",Stanford University,"Stanford, CA",USA,1927
463,780,Avram,Hershko,31.12.37,,Hungary,HU,Karcag,,,,male,2004,chemistry,,3,"""for the discovery of ubiquitin-mediated protein degradation""",Technion - Israel Institute of Technology,Haifa,Israel,1937
464,779,Aaron,Ciechanover,01.10.47,,British Protectorate of Palestine (now Israel),IL,Haifa,,,,male,2004,chemistry,,3,"""for the discovery of ubiquitin-mediated protein degradation""",Technion - Israel Institute of Technology,Haifa,Israel,1947
465,781,Irwin,Rose,16.07.26,06.03.15,USA,US,"Brooklyn, NY",USA,US,"Deerfield, MA",male,2004,chemistry,,3,"""for the discovery of ubiquitin-mediated protein degradation""",University of California,"Irvine, CA",USA,1926
466,116,James Watson,Cronin,29.09.31,8/25/2016,USA,US,"Chicago, IL",USA,US,"St. Paul, MN",male,1980,physics,,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",University of Chicago,"Chicago, IL",USA,1931
467,117,Val Logsdon,Fitch,10.03.23,02.05.15,USA,US,"Merriman, NE",USA,US,"Princeton, NJ",male,1980,physics,,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",Princeton University,"Princeton, NJ",USA,1923
468,769,Peter,Agre,30.01.49,,USA,US,"Northfield, MN",,,,male,2003,chemistry,"""for discoveries concerning channels in cell membranes""",2,"""for the discovery of water channels""",Johns Hopkins University School of Medicine,"Baltimore, MD",USA,1949
469,874,Sir John B.,Gurdon,02.10.33,,United Kingdom,GB,Dippenhall,,,,male,2012,medicine,,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",Gurdon Institute,Cambridge,United Kingdom,1933
470,875,Shinya,Yamanaka,04.09.62,,Japan,JP,Osaka,,,,male,2012,medicine,,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",Kyoto University,Kyoto,Japan,1962
471,875,Shinya,Yamanaka,04.09.62,,Japan,JP,Osaka,,,,male,2012,medicine,,2,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",Gladstone Institutes,"San Francisco, CA",USA,1962
472,461,Gônter,Blobel,21.05.36,,Germany (now Poland),PL,Waltersdorf (now Niegoslawice),,,,male,1999,medicine,,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Rockefeller University,"New York, NY",USA,1936
473,461,Gônter,Blobel,21.05.36,,Germany (now Poland),PL,Waltersdorf (now Niegoslawice),,,,male,1999,medicine,,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Howard Hughes Medical Institute,,,1936
474,633,Ivo,Andric,1892-10-10,3/13/1975,Bosnia (now Bosnia and Herzegovina),BA,Dolac,Yugoslavia (now Serbia),RS,Belgrade,male,1961,literature,,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",,,,1892
475,644,Aleksandr Isayevich,Solzhenitsyn,11.12.18,08.03.08,Russia,RU,Kislovodsk,Russia,RU,Troitse-Lykovo,male,1970,literature,,1,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",,,,1918
476,289,Jens C.,Skou,08.10.18,,Denmark,DK,Lemvig,,,,male,1997,chemistry,,2,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",Aarhus University,Aarhus,Denmark,1918
477,592,Jacinto,Benavente,1866-08-12,7/14/1954,Spain,ES,Madrid,Spain,ES,Madrid,male,1922,literature,,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",,,,1866
478,652,Saul,Bellow,10.06.15,04.05.05,Canada,CA,Montreal,USA,US,"Brookline, MA",male,1976,literature,,1,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",,,,1915
479,47,Ernest Orlando,Lawrence,08.08.01,8/27/1958,USA,US,"Canton, SD",USA,US,"Palo Alto, CA",male,1939,physics,,1,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",University of California,"Berkeley, CA",USA,1901
480,51,Percy Williams,Bridgman,1882-04-21,8/20/1961,USA,US,"Cambridge, MA",USA,US,"Randolph, NH",male,1946,physics,,1,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",Harvard University,"Cambridge, MA",USA,1882
481,840,George E.,Smith,10.05.30,,USA,US,"White Plains, NY",,,,male,2009,physics,,4,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",Bell Laboratories,"Murray Hill, NJ",USA,1930
482,839,Willard S.,Boyle,19.08.24,05.07.11,Canada,CA,"Amherst, NS",Canada,CA,"Truro, NS",male,2009,physics,,23,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",Bell Laboratories,"Murray Hill, NJ",USA,1924
483,907,Hiroshi,Amano,11.09.60,,Japan,JP,Hamamatsu,,,,male,2014,physics,,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,Nagoya,Japan,1960
484,906,Isamu,Akasaki,30.01.29,,Japan,JP,Chiran,,,,male,2014,physics,,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Meijo University,Nagoya,Japan,1929
485,906,Isamu,Akasaki,30.01.29,,Japan,JP,Chiran,,,,male,2014,physics,,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",Nagoya University,Nagoya,Japan,1929
486,908,Shuji,Nakamura,22.05.54,,Japan,JP,Ikata,,,,male,2014,physics,,3,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",University of California,"Santa Barbara, CA",USA,1954
487,74,Donald Arthur,Glaser,21.09.26,2/28/2013,USA,US,"Cleveland, OH",USA,US,"Berkeley, CA",male,1960,physics,,1,"""for the invention of the bubble chamber""",University of California,"Berkeley, CA",USA,1926
488,135,Norman F.,Ramsey,27.08.15,11.04.11,USA,US,"Washington, DC",USA,US,"Wayland, MA",male,1989,physics,,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",Harvard University,"Cambridge, MA",USA,1915
489,132,Leon M.,Lederman,15.07.22,,USA,US,"New York, NY",,,,male,1988,physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",Fermi National Accelerator Laboratory,"Batavia, IL",USA,1922
490,134,Jack,Steinberger,25.05.21,,Germany,DE,Bad Kissingen,,,,male,1988,physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",CERN,Geneva,Switzerland,1921
491,133,Melvin,Schwartz,02.11.32,8/28/2006,USA,US,"New York, NY",USA,US,"Twin Falls, ID",male,1988,physics,,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Digital Pathways, Inc.","Mountain View, CA",USA,1932
492,608,Eugene Gladstone,O'Neill,1888-10-16,11/27/1953,USA,US,"New York, NY",USA,US,"Boston, MA",male,1936,literature,,1,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",,,,1888
493,614,Johannes Vilhelm,Jensen,1873-01-20,11/25/1950,Denmark,DK,FarsË,Denmark,DK,Copenhagen,male,1944,literature,,1,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",,,,1873
494,679,Paul A.,Samuelson,15.05.15,12/13/2009,USA,US,"Gary, IN",USA,US,"Belmont, MA",male,1970,economics,,1,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1915
495,185,Adolf Otto Reinhold,Windaus,1876-12-25,06.09.59,Germany,DE,Berlin,West Germany (now Germany),DE,G_ttingen,male,1928,chemistry,,1,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Goettingen University,G_ttingen,Germany,1876
496,631,Saint-John,Perse,1887-05-31,9/20/1975,Guadeloupe Island,GP,Pointe--Pitre,France,FR,Presqu'île-de-Giens,male,1960,literature,,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",,,,1887
497,606,Ivan Alekseyevich,Bunin,1870-10-22,11.08.53,Russia,RU,Voronezh,France,FR,Paris,male,1933,literature,,1,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",,,,1870
498,177,Fritz,Haber,1868-12-09,1/29/1934,Prussia (now Poland),PL,Breslau (now Wroclaw),Switzerland,,Basel,male,1918,chemistry,,1,"""for the synthesis of ammonia from its elements""",Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) fôr physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1868
499,887,Franois,Englert,06.11.32,,Belgium,BE,Etterbeek,,,,male,2013,physics,,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",Universit_ Libre de Bruxelles,Brussels,Belgium,1932
500,888,Peter W.,Higgs,29.05.29,,United Kingdom,GB,Newcastle upon Tyne,,,,male,2013,physics,,2,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",University of Edinburgh,Edinburgh,United Kingdom,1929
501,882,Alvin E.,Roth,18.12.51,,USA,US,"New York, NY",,,,male,2012,economics,,2,"""for the theory of stable allocations and the practice of market design""",Harvard Business School,"Boston, MA",USA,1951
502,882,Alvin E.,Roth,18.12.51,,USA,US,"New York, NY",,,,male,2012,economics,,2,"""for the theory of stable allocations and the practice of market design""",Harvard University,"Cambridge, MA",USA,1951
503,883,Lloyd S.,Shapley,02.06.23,03.12.16,USA,US,"Cambridge, MA",USA,US,"Tucson, AZ",male,2012,economics,,2,"""for the theory of stable allocations and the practice of market design""",University of California,"Los Angeles, CA",USA,1923
504,744,George A.,Akerlof,17.06.40,,USA,US,"New Haven, CT",,,,male,2001,economics,,3,"""for their analyses of markets with asymmetric information""",University of California,"Berkeley, CA",USA,1940
505,746,Joseph E.,Stiglitz,09.02.43,,USA,US,"Gary, IN",,,,male,2001,economics,,3,"""for their analyses of markets with asymmetric information""",Columbia University,"New York, NY",USA,1943
506,745,A. Michael,Spence,01.01.43,,USA,US,"Montclair, NJ",,,,male,2001,economics,,3,"""for their analyses of markets with asymmetric information""",Stanford University,"Stanford, CA",USA,1943
507,857,Dale T.,Mortensen,02.02.39,01.09.14,USA,US,"Enterprise, OR",USA,US,"Wilmette, IL",male,2010,economics,,3,"""for their analysis of markets with search frictions""",Aarhus University,Aarhus,Denmark,1939
508,856,Peter A.,Diamond,29.04.40,,USA,US,"New York, NY",,,,male,2010,economics,,3,"""for their analysis of markets with search frictions""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1940
509,857,Dale T.,Mortensen,02.02.39,01.09.14,USA,US,"Enterprise, OR",USA,US,"Wilmette, IL",male,2010,economics,,3,"""for their analysis of markets with search frictions""",Northwestern University,"Evanston, IL",USA,1939
510,858,Christopher A.,Pissarides,20.02.48,,Cyprus,CY,Nicosia,,,,male,2010,economics,,3,"""for their analysis of markets with search frictions""",London School of Economics and Political Science,London,United Kingdom,1948
511,118,Nicolaas,Bloembergen,11.03.20,,the Netherlands,NL,Dordrecht,,,,male,1981,physics,,4,"""for their contribution to the development of laser spectroscopy""",Harvard University,"Cambridge, MA",USA,1920
512,119,Arthur Leonard,Schawlow,05.05.21,4/28/1999,USA,US,"Mount Verno, NY",USA,US,"Palo Alto, CA",male,1981,physics,,4,"""for their contribution to the development of laser spectroscopy""",Stanford University,"Stanford, CA",USA,1921
513,243,William H.,Stein,25.06.11,02.02.80,USA,US,"New York, NY",USA,US,"New York, NY",male,1972,chemistry,,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",USA,1911
514,242,Stanford,Moore,04.09.13,8/23/1982,USA,US,"Chicago, IL",USA,US,"New York, NY",male,1972,chemistry,,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",USA,1913
515,222,Frederick,Sanger,13.08.18,11/19/2013,United Kingdom,GB,Rendcombe,United Kingdom,GB,Cambridge,male,1980,chemistry,,4,"""for their contributions concerning the determination of base sequences in nucleic acids""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1918
516,255,Walter,Gilbert,21.03.32,,USA,US,"Boston, MA",,,,male,1980,chemistry,,4,"""for their contributions concerning the determination of base sequences in nucleic acids""","Harvard University, Biological Laboratories","Cambridge, MA",USA,1932
517,265,Yuan T.,Lee,19.11.36,,Taiwan,TW,Hsinchu,,,,male,1986,chemistry,,3,"""for their contributions concerning the dynamics of chemical elementary processes""",University of California,"Berkeley, CA",USA,1936
518,264,Dudley R.,Herschbach,18.06.32,,USA,US,"San Jos_, CA",,,,male,1986,chemistry,,3,"""for their contributions concerning the dynamics of chemical elementary processes""",Harvard University,"Cambridge, MA",USA,1932
519,266,John C.,Polanyi,23.01.29,,Germany,DE,Berlin,,,,male,1986,chemistry,,3,"""for their contributions concerning the dynamics of chemical elementary processes""",University of Toronto,Toronto,Canada,1929
520,787,Edward C.,Prescott,26.12.40,,USA,US,"Glens Falls, NY",,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Federal Reserve Bank of Minneapolis,"Minneapolis, MN",USA,1940
521,786,Finn E.,Kydland,01.12.43,,Norway,NO,Gjesdal,,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Carnegie Mellon University,"Pittsburgh, PA",USA,1943
522,786,Finn E.,Kydland,01.12.43,,Norway,NO,Gjesdal,,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",University of California,"Santa Barbara, CA",USA,1943
523,787,Edward C.,Prescott,26.12.40,,USA,US,"Glens Falls, NY",,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Arizona State University,"Tempe, AZ",USA,1940
524,792,John L.,Hall,21.08.34,,USA,US,"Denver, CO",,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""","University of Colorado, JILA","Boulder, CO",USA,1934
525,792,John L.,Hall,21.08.34,,USA,US,"Denver, CO",,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",National Institute of Standards and Technology,"Boulder, CO",USA,1934
526,793,Theodor W.,H_nsch,30.10.41,,Germany,DE,Heidelberg,,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",Max-Planck-Institut fôr Quantenoptik,Garching,Germany,1941
527,793,Theodor W.,H_nsch,30.10.41,,Germany,DE,Heidelberg,,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",Ludwig-Maximilians- Universit_t,Munich,Germany,1941
528,237,Derek H. R.,Barton,08.09.18,3/16/1998,United Kingdom,GB,Gravesend,USA,US,"College Station, TX",male,1969,chemistry,,2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Imperial College,London,United Kingdom,1918
529,238,Odd,Hassel,1897-05-17,05.11.81,Norway,NO,Kristiania (now Oslo),Norway,NO,Oslo,male,1969,chemistry,,2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",University of Oslo,Oslo,Norway,1897
530,686,Leonid Vitaliyevich,Kantorovich,19.01.12,04.07.86,Russian Empire (now Russia),RU,St. Petersburg,USSR (now Russia),RU,Moscow,male,1975,economics,,2,"""for their contributions to the theory of optimum allocation of resources""",Academy of Sciences,Moscow,USSR,1912
531,687,Tjalling C.,Koopmans,28.08.10,2/26/1985,the Netherlands,NL,'s Graveland,USA,US,"New Haven, CT",male,1975,economics,,2,"""for their contributions to the theory of optimum allocation of resources""",Yale University,"New Haven, CT",USA,1910
532,113,Sheldon Lee,Glashow,05.12.32,,USA,US,"New York, NY",,,,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""","Harvard University, Lyman Laboratory","Cambridge, MA",USA,1932
533,115,Steven,Weinberg,03.05.33,,USA,US,"New York, NY",,,,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Harvard University,"Cambridge, MA",USA,1933
534,114,Abdus,Salam,29.01.26,11/21/1996,India (now Pakistan),PK,Jhang Maghi&#257;na,United Kingdom,GB,Oxford,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Imperial College,London,United Kingdom,1926
535,114,Abdus,Salam,29.01.26,11/21/1996,India (now Pakistan),PK,Jhang Maghi&#257;na,United Kingdom,GB,Oxford,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",International Centre for Theoretical Physics,Trieste,Italy,1926
536,124,Carlo,Rubbia,31.03.34,,Italy,IT,Gorizia,Switzerland,,Geneva,male,1984,physics,,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",CERN,Geneva,Switzerland,1934
537,125,Simon,van der Meer,24.11.25,03.04.11,the Netherlands,NL,the Hague,Switzerland,,Geneva,male,1984,physics,,2,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",CERN,Geneva,Switzerland,1925
538,129,Heinrich,Rohrer,06.06.33,5/16/2013,Switzerland,CH,Buchs,Switzerland,,Wollerau,male,1986,physics,,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rôschlikon,Switzerland,1933
539,128,Gerd,Binnig,20.07.47,,West Germany (now Germany),DE,Frankfurt-on-the-Main,,,,male,1986,physics,,4,"""for their design of the scanning tunneling microscope""",IBM Zurich Research Laboratory,Rôschlikon,Switzerland,1947
540,267,Donald J.,Cram,22.04.19,6/17/2001,USA,US,"Chester, VT",USA,US,"Palm Desert, CA",male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",University of California,"Los Angeles, CA",USA,1919
541,268,Jean-Marie,Lehn,30.09.39,,France,FR,Rosheim,,,,male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Collge de France,Paris,France,1939
542,268,Jean-Marie,Lehn,30.09.39,,France,FR,Rosheim,,,,male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Universit_ Louis Pasteur,Strasbourg,France,1939
543,269,Charles J.,Pedersen,03.10.04,10/26/1989,Korea (now South Korea),KR,Pusan,USA,US,"Salem, NJ",male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Du Pont,"Wilmington, DE",USA,1904
544,59,Edward Mills,Purcell,30.08.12,03.07.97,USA,US,"Taylorville, IL",USA,US,"Cambridge, MA",male,1952,physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,"Cambridge, MA",USA,1912
545,58,Felix,Bloch,23.10.05,09.10.83,Switzerland,CH,Zurich,Switzerland,,Zurich,male,1952,physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,"Stanford, CA",USA,1905
546,757,Koichi,Tanaka,03.08.59,,Japan,JP,Toyama City,,,,male,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",4,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",Shimadzu Corp.,Kyoto,Japan,1959
547,756,John B.,Fenn,15.06.17,12.10.10,USA,US,"New York, NY",USA,US,"Richmond, VA",male,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",4,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",Virginia Commonwealth University,"Richmond, VA",USA,1917
548,253,Georg,Wittig,1897-06-16,8/26/1987,Germany,DE,Berlin,West Germany (now Germany),DE,Heidelberg,male,1979,chemistry,,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",University of Heidelberg,Heidelberg,Federal Republic of Germany,1897
549,252,Herbert C.,Brown,22.05.12,12/19/2004,United Kingdom,GB,London,USA,US,"Lafayette, IN",male,1979,chemistry,,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",Purdue University,"West Lafayette, IN",USA,1912
550,916,William C.,Campbell,28.06.30,,Ireland,IE,Ramelton,,,,male,2015,medicine,,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Drew University,"Madison, NJ",USA,1930
551,917,Satoshi,&#332;mura,12.07.35,,Japan,JP,Yamanashi Prefecture,,,,male,2015,medicine,,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Kitasato University,Tokyo,Japan,1935
552,381,Andr_,Lwoff,08.05.02,9/30/1994,France,FR,Ainay-le-Chteau,France,FR,Paris,male,1965,medicine,,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,France,1902
553,382,Jacques,Monod,09.02.10,5/31/1976,France,FR,Paris,France,FR,Cannes,male,1965,medicine,,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,France,1910
554,380,Franois,Jacob,17.06.20,4/19/2013,France,FR,Nancy,France,FR,Paris,male,1965,medicine,,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,France,1920
